feature,mean_abs_shap
dewpoint_c,1.301304
wind_speed_ms_nbr,1.0313729
ndvi,0.7033505
temp_mean_c_nbr,0.7021841
humidity_pct_nbr,0.68810546
temp_mean_c,0.61715204
soil_moisture_rootzone,0.59121925
ndvi_anomaly,0.5498347
humidity_pct_lag8w,0.5148141
wind_dir_cos_lag8w,0.48568243
soil_moisture_surface_lag8w,0.44976008
ndvi_anomaly_nbr,0.43068343
wind_speed_ms_lag8w,0.36740664
ndvi_nbr,0.36131486
wind_dir_sin_lag4w,0.3470875
wind_dir_sin_lag8w,0.32454798
wind_dir_cos_nbr,0.31918764
humidity_pct,0.29683694
humidity_pct_lag4w,0.28468072
ndvi_lag8w,0.28330585
wind_dir_cos_lag4w,0.26429442
ndvi_anomaly_lag4w,0.2453649
ndvi_lag4w,0.23313357
wind_dir_sin_nbr,0.22396249
wind_u_ms,0.22006983
wind_speed_ms,0.20901893
temp_mean_c_lag8w,0.19273838
wind_v_ms,0.18953194
temp_anomaly_lag4w,0.18461408
ndvi_anomaly_lag8w,0.18235712
temp_anomaly_lag8w,0.17592123
soil_moisture_rootzone_lag4w,0.17009655
temp_anomaly,0.1426087
soil_moisture_surface_lag4w,0.12320831
temp_mean_c_lag4w,0.10531337
wind_dir_cos,0.06610797
soil_moisture_surface_nbr,0.06481723
wind_speed_ms_lag4w,0.05720082
wind_dir_deg,0.044661336
temp_anomaly_nbr,0.041952763
soil_moisture_surface,0.03749073
wind_dir_sin,0.033854965
soil_moisture_rootzone_nbr,0.03288122
soil_moisture_rootzone_lag8w,0.013630697
rainfall_roll_4w,0.0
rainfall_weekly_mm,0.0
rainfall_anomaly,0.0
rainfall_weekly_mm_lag4w,0.0
rainfall_anomaly_lag4w,0.0
rainfall_roll_8w,0.0
rainfall_roll_12w,0.0
rainfall_anomaly_lag8w,0.0
rainfall_weekly_mm_lag8w,0.0
rainfall_weekly_mm_nbr,0.0
rainfall_anomaly_nbr,0.0
